[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /todos 1.1" 200 2050 "-" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /js/bootstrap.min.js 1.1" 200 20697 "http://localhost:4000/todos" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /css/bootstrap.min.css 1.1" 200 71385 "http://localhost:4000/todos" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /js/jquery.min.js 1.1" 200 93868 "http://localhost:4000/todos" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /css/style.css 1.1" 200 822 "http://localhost:4000/todos" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /css/bootstrap.responsive.min.css 1.1" 200 7680 "http://localhost:4000/todos" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:16 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:16 GMT+0800 (中国标准时间)] "GET /img/whitey.png 1.1" 200 87134 "http://localhost:4000/css/style.css" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:18 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:18 GMT+0800 (中国标准时间)] "GET /todos/add 1.1" 200 2488 "http://localhost:4000/todos" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:18 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:18 GMT+0800 (中国标准时间)] "GET /css/style.css 1.1" 200 822 "http://localhost:4000/todos/add" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:18 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:18 GMT+0800 (中国标准时间)] "GET /css/bootstrap.responsive.min.css 1.1" 200 7680 "http://localhost:4000/todos/add" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
[Mon, 27 Aug 2012 08:26:18 GMT] ACCESS 127.0.0.1 - - [Mon Aug 27 2012 16:26:18 GMT+0800 (中国标准时间)] "GET /js/bootstrap.min.js 1.1" 200 20697 "http://localhost:4000/todos/add" "Mozilla/5.0 (Windows NT 6.1; rv:14.0) Gecko/20100101 Firefox/14.0.1" 
